B1	B2	B3	N_l1	N_l2	N_l3	N_t	C_l1	C_l2	C_l3	C_t	Diff(C_t - N_t)	LessThanZero
1	8	8	125442	151901	104031	1480	127929	129054	18861	2154	674	no
1	1	1	125475	156479	63609	1659	126467	156751	49504	10198	8539	no
1	1	1	125589	154131	16270	1442	126390	152905	12925	8727	7285	no
1	1	1	125486	159228	104135	1778	126348	156914	48101	11088	9310	no
1	1	1	125577	159970	104969	1528	128032	159609	70962	8992	7464	no
1	1	1	125565	161812	17641	1539	126469	162083	7407	10132	8593	no
1	1	1	125594	164277	103891	1814	129904	168799	1603	10889	9075	no
1	1	1	125560	152415	8764	1396	126328	150934	3170	8702	7306	no
1	1	1	125565	159578	104265	1719	126304	156300	1290	10146	8427	no
1	1	1	125525	155951	20104	1444	126326	157855	10777	8953	7509	no
1	1	1	125888	161559	104040	1889	129041	161265	37779	12128	10239	no
1	1	2	125607	164585	105147	1724	126429	162503	12350	6990	5266	no
1	1	2	125582	159207	104190	1859	126398	152788	729	6967	5108	no
1	1	2	125532	158916	8853	1430	126307	159538	3226	5522	4092	no
1	1	2	125582	159688	104132	1714	126371	153651	1384	6571	4857	no
1	1	2	125926	156946	51794	1418	129009	160043	29892	5514	4096	no
1	1	2	126118	161642	77327	1657	133290	172157	68488	7083	5426	no
1	1	2	125595	160492	42985	1491	127225	162557	38737	5718	4227	no
1	1	2	125933	156277	75655	1581	135462	183555	57697	6946	5365	no
1	1	2	125947	159661	23790	1390	128970	161266	20288	5711	4321	no
1	1	2	125706	163425	53300	1613	135333	184971	80751	6792	5179	no
1	1	4	125998	159262	26592	1495	128115	155225	19722	4210	2715	no
1	1	4	125579	162285	103713	1497	133333	187395	94154	5706	4209	no
1	1	4	125859	162383	32528	1480	128609	163117	16547	4246	2766	no
1	1	4	126225	157199	20840	1384	128493	153486	8441	3895	2511	no
1	1	4	125497	154319	17617	1379	126448	153544	6509	3913	2534	no
1	1	4	125543	158869	104553	1585	126317	153639	31708	4604	3019	no
1	1	4	125486	150905	17426	1432	126316	150567	8233	3937	2505	no
1	1	4	126080	159038	56384	1519	128362	159069	102002	4406	2887	no
1	1	4	125493	161444	104249	2124	126345	157652	24462	5645	3521	no
1	1	4	125546	158697	104431	1764	126074	153635	427	4679	2915	no
1	1	8	125564	159613	99492	1634	125641	159213	79836	2927	1293	no
1	1	8	125856	154621	102440	1627	126509	143703	93010	3640	2013	no
1	1	8	125567	153387	51462	1477	125367	151391	28047	2622	1145	no
1	1	8	126012	158456	81727	1752	126871	154663	49688	3402	1650	no
1	1	8	125595	160939	61839	1552	125415	159352	40963	2652	1100	no
1	1	8	125443	157170	104065	1722	125288	154412	26126	2943	1221	no
1	1	8	125559	158533	73732	1612	125332	159196	51235	2571	959	no
1	1	8	125869	158485	102939	1679	126829	151197	42175	3090	1411	no
1	1	8	125992	158915	79722	1576	127765	162902	61606	2883	1307	no
1	1	8	125511	155277	103901	1706	125550	151403	498	2457	751	no
1	1	16	125440	159079	104229	1506	125530	157768	52302	2016	510	no
1	1	16	125522	156711	25991	1755	125650	155193	11566	2388	633	no
1	1	16	125520	157155	23167	1506	125581	155219	8246	2017	511	no
1	1	16	125952	157553	99210	1409	126624	151004	71129	2110	701	no
1	1	16	125553	157975	103982	1596	125604	154024	485	2117	521	no
1	1	16	125584	157488	7782	1366	125619	156239	2687	1960	594	no
1	1	16	125476	151907	8137	1527	125500	150282	2921	2117	590	no
1	1	16	125528	156493	104032	1935	126702	153117	806	2690	755	no
1	1	16	125417	158422	7898	1377	125502	157436	3542	1963	586	no
1	1	16	125427	159215	33780	1556	125782	159388	15022	2128	572	no
1	1	32	125534	157630	7514	1358	125558	155203	3070	1742	384	no
1	1	32	125930	155741	103262	1428	126329	148407	68414	1701	273	no
1	1	32	126035	153398	30997	1420	126451	144408	9809	1696	276	no
1	1	32	125582	160795	104277	1719	125583	155638	957	1969	250	no
1	1	32	126242	158502	103072	1646	126517	151240	2751	1922	276	no
1	1	32	125529	160704	104569	2905	125485	159186	92226	3525	620	no
1	1	32	125880	161237	103160	1699	126430	152002	49096	2015	316	no
1	1	32	126052	155164	27035	1420	126489	146282	10529	1713	293	no
1	1	32	125410	157772	104279	1909	125547	154713	48006	2381	472	no
1	1	32	126034	155660	52541	1463	126442	147298	30688	1639	176	no
1	1	64	125546	164186	104257	1852	125602	161051	40914	2018	166	no
1	1	64	125500	154835	19101	1379	125592	153325	6613	1645	266	no
1	1	64	126033	156925	102980	1528	126578	147545	17046	1783	255	no
1	1	64	126024	160915	36291	1367	126771	155699	17434	1684	317	no
1	1	64	126074	159504	45068	1492	126521	153803	22924	1761	269	no
1	1	64	125511	154394	17603	1434	125563	151463	6267	1562	128	no
1	1	64	125518	157055	104365	1611	125615	151751	10812	1823	212	no
1	1	64	125501	160144	16073	1434	125592	158928	5589	1563	129	no
1	1	64	125503	152637	104397	1597	125617	150538	796	1681	84	no
1	1	64	125393	150368	104437	1612	125636	145192	10532	1691	79	no
1	2	1	125548	158656	17845	1387	127702	153823	6524	6122	4735	no
